Date,Close,High,Low,Open,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2025-11-12,273.4700012207031,275.7300109863281,271.70001220703125,275.0,48398000,AAPL
2025-11-13,272.95001220703125,276.70001220703125,272.0899963378906,274.1099853515625,49602800,AAPL
2025-11-14,272.4100036621094,275.9599914550781,269.6000061035156,271.04998779296875,47431300,AAPL
2025-11-17,267.4599914550781,270.489990234375,265.7300109863281,268.82000732421875,45018300,AAPL
2025-11-18,267.44000244140625,270.7099914550781,265.32000732421875,269.989990234375,45677300,AAPL
2025-11-19,268.55999755859375,272.2099914550781,265.5,265.5299987792969,40424500,AAPL
2025-11-20,266.25,275.42999267578125,265.9200134277344,270.8299865722656,45823600,AAPL
2025-11-21,271.489990234375,273.3299865722656,265.6700134277344,265.95001220703125,59030800,AAPL
2025-11-24,275.9200134277344,277.0,270.8999938964844,270.8999938964844,65585800,AAPL
2025-11-25,276.9700012207031,280.3800048828125,275.25,275.2699890136719,46914200,AAPL
2025-11-26,277.54998779296875,279.5299987792969,276.6300048828125,276.9599914550781,33431400,AAPL
2025-11-28,278.8500061035156,279.0,275.989990234375,277.260009765625,20135600,AAPL
2025-12-01,283.1000061035156,283.4200134277344,276.1400146484375,278.010009765625,46587700,AAPL
2025-12-02,286.19000244140625,287.3999938964844,282.6300048828125,283.0,53669500,AAPL
2025-12-03,284.1499938964844,288.6199951171875,283.29998779296875,286.20001220703125,43538700,AAPL
2025-12-04,280.70001220703125,284.7300109863281,278.5899963378906,284.1000061035156,43989100,AAPL
2025-12-05,278.7799987792969,281.1400146484375,278.04998779296875,280.5400085449219,47265800,AAPL
2025-12-08,277.8900146484375,279.6700134277344,276.1499938964844,278.1300048828125,38211800,AAPL
2025-12-09,277.17999267578125,280.0299987792969,276.9200134277344,278.1600036621094,32193300,AAPL
2025-12-10,278.7799987792969,279.75,276.44000244140625,277.75,33038300,AAPL
2025-12-11,278.0299987792969,279.5899963378906,273.80999755859375,279.1000061035156,33207600,AAPL
